word,text_only_count,image_count
starr,347,0
discuss,347,0
mortality,347,0
suggest,346,0
rulemaking,346,0
1991,346,0
challenges,346,0
punishment,346,0
surely,345,0
gods,345,0
frequently,345,0
prove,344,0
ourselves,344,0
rare,344,0
slave,343,0
unfortunately,342,0
heaven,341,0
relevant,341,0
expressed,341,0
atmosphere,341,0
rushed,339,0
instant,339,0
jamaica,338,0
recorded,337,0
obtain,336,0
weekend,336,0
19th,335,0
efficient,335,0
guidance,334,0
claimed,334,0
earned,334,0
requirement,334,0
interests,333,0
reasonable,333,0
households,333,0
unlike,333,0
recommendations,333,0
listed,332,0
governments,332,0
becomes,332,0
reply,332,0
1989,331,0
marilla,331,0
powers,330,0
long-term,330,0
capture,330,0
struggle,329,0
institute,328,0
monday,328,0
harm,327,0
peninsula,327,0
argument,326,0
listened,326,0
cavendish,326,0
1988,326,0
edward,325,0
world's,324,0
sufficient,324,0
illegal,324,0
excuse,324,0
difficulty,322,0
begun,322,0
firms,322,0
referred,322,0
lem,321,0
constant,321,0
fenn,320,0
maintain,320,0
consistent,319,0
accountability,318,0
nation's,318,0
fond,318,0
mosque,318,0
provisions,317,0
queer,317,0
feels,316,0
drove,316,0
strategy,316,0
consumption,315,0
he'll,314,0
rapidly,314,0
administrative,314,0
regarded,313,0
charlotte,312,0
candidate,312,0
responsibilities,312,0
possibility,312,0
cio,312,0
typically,312,0
forgot,312,0
1986,311,0
discovery,311,0
mayenne,311,0
reputation,311,0
committed,311,0
gdp,311,0
allows,310,0
magnificent,310,0
delivered,310,0
gao's,310,0
sexual,309,0
wondered,309,0
moral,309,0
museums,309,0
exciting,309,0
stranger,308,0
fgd,308,0
rivers,307,0
increases,307,0
encourage,307,0
satisfied,307,0
productivity,306,0
dublin,306,0
tilda,306,0
meanwhile,306,0
huh,305,0
succeeded,305,0
devoted,304,0
hoped,304,0
fees,302,0
sought,302,0
organizational,302,0
employment,302,0
recognize,301,0
irs,301,0
limits,301,0
threat,301,0
audits,301,0
reductions,300,0
functions,300,0
badly,300,0
appointed,300,0
evidently,299,0
useless,298,0
concluded,298,0
lessons,297,0
arrive,297,0
charged,297,0
invited,297,0
1980,297,0
obtained,296,0
barty,295,0
attended,295,0
editor,295,0
millions,294,0
centers,294,0
didn,293,0
churches,293,0
option,293,0
1987,293,0
contributions,293,0
frequent,292,0
conservative,292,0
processing,290,0
rue,290,0
thy,290,0
tradition,290,0
alfgar,290,0
reviewed,288,0
ned,288,0
medicare,287,0
1982,286,0
mississippi,286,0
arrested,286,0
explanation,286,0
lately,286,0
flew,285,0
vandemeyer,285,0
madrid,285,0
debate,285,0
constitution,285,0
to-morrow,285,0
writes,284,0
wentworth,284,0
adventures,284,0
expenses,283,0
conflict,283,0
reference,283,0
inquired,283,0
decades,282,0
spite,282,0
friday,282,0
resorts,282,0
escaped,281,0
candidates,281,0
noble,281,0
considerable,281,0
satisfaction,280,0
crimes,280,0
fraud,280,0
missouri,279,0
reducing,279,0
eighty,279,0
existence,279,0
500,279,0
they'd,279,0
reliability,279,0
we'd,278,0
meetings,278,0
avoided,278,0
examined,278,0
defeated,277,0
arrival,277,0
crisis,277,0
readers,277,0
valuable,277,0
charges,277,0
assume,276,0
liberal,276,0
departments,275,0
finds,275,0
appreciate,275,0
today's,274,0
celebrated,274,0
effectively,274,0
casson,274,0
ours,274,0
hurried,273,0
blame,273,0
approval,273,0
1970,273,0
demanded,273,0
principal,273,0
bobby,273,0
recommended,272,0
rarely,272,0
pace,272,0
delightful,272,0
wondering,272,0
disappeared,272,0
loans,271,0
merely,271,0
regions,271,0
madeira,271,0
daniel,271,0
nominated,271,0
fate,271,0
establish,270,0
marry,270,0
inhabitants,270,0
sprang,270,0
initiative,270,0
biography,269,0
galley,269,0
incentives,269,0
criteria,269,0
visits,269,0
nights,269,0
accused,268,0
refer,268,0
assumptions,267,0
considering,266,0
describes,266,0
dynasty,266,0
writers,266,0
attend,266,0
to-night,266,0
occasionally,266,0
strategies,265,0
participate,265,0
combined,265,0
slept,265,0
1985,265,0
constantly,265,0
edmund,264,0
h-2a,264,0
1972,264,0
concerning,264,0
tomorrow,264,0
admit,264,0
counties,263,0
lasted,263,0
profit,263,0
scholarship,263,0
elections,263,0
remarkable,262,0
counsel,262,0
lieutenant,261,0
commonly,261,0
caves,261,0
explore,261,0
16th,261,0
concept,261,0
assumed,261,0
dole,261,0
initiatives,261,0
horror,261,0
distribution,261,0
1984,261,0
bishop,260,0
sum,260,0
harold,260,0
conclusion,260,0
consideration,260,0
anger,260,0
grants,260,0
arthur,259,0
wounded,259,0
fanning,259,0
sending,259,0
encouraged,258,0
altogether,258,0
1974,258,0
guidelines,257,0
rennie,257,0
capable,257,0
darling,257,0
outcomes,257,0
statistics,256,0
significantly,256,0
treasury,256,0
massachusetts,255,0
scr,255,0
specifically,255,0
stewardship,255,0
submitted,255,0
confirmed,255,0
harris,254,0
pakistan,254,0
voices,254,0
17th,253,0
kindly,253,0
launched,253,0
category,253,0
wealthy,253,0
belief,253,0
expectations,252,0
decade,252,0
softly,252,0
treaty,252,0
sensitive,252,0
anse,251,0
1979,251,0
helpful,251,0
measured,250,0
economics,250,0
johnny,250,0
approached,250,0
1981,250,0
slavery,250,0
investigation,250,0
achieved,249,0
implemented,249,0
fascinating,248,0
1980s,248,0
fee,248,0
monastery,247,0
relations,247,0
seized,247,0
defeat,247,0
edition,247,0
categories,247,0
obviously,246,0
ramsey,246,0
it'll,246,0
decrease,246,0
interrupted,246,0
strongly,246,0
attitude,246,0
sixty,246,0
voting,246,0
producer,245,0
delay,245,0
surpluses,245,0
gulf,245,0
romans,245,0
exists,244,0
spirits,244,0
agnes,243,0
successfully,243,0
ralph,243,0
destruction,242,0
elsewhere,242,0
percentage,242,0
tourism,241,0
democracy,241,0
allowances,241,0
depending,241,0
preamble,240,0
eligible,240,0
disappointed,240,0
1960s,240,0
opinions,240,0
prefecture,240,0
awarded,239,0
vietnam,239,0
acted,238,0
summary,238,0
involve,238,0
purchased,237,0
employed,237,0
shortly,237,0
glanced,237,0
preferred,237,0
dewey,236,0
cruel,236,0
statewide,236,0
improvements,236,0
1975,236,0
voters,236,0
experiences,236,0
praise,235,0
colony,235,0
composed,234,0
vrenna,234,0
threatened,234,0
1960,234,0
investments,233,0
continues,233,0
replace,233,0
low-income,232,0
aspects,232,0
abbey,232,0
servants,232,0
1969,231,0
hopes,231,0
goddess,231,0
a.d,231,0
denied,231,0
promote,231,0
1976,231,0
debut,230,0
formerly,230,0
absence,230,0
comprehensive,230,0
championships,230,0
reliance,230,0
officially,230,0
chums,230,0
minimum,229,0
ibiza,229,0
resistance,228,0
fda,228,0
greece,228,0
survive,227,0
regulation,227,0
1983,227,0
necessarily,227,0
appendix,227,0
swept,226,0
destroy,226,0
improving,226,0
attempted,225,0
suggests,225,0
requested,224,0
error,224,0
expense,224,0
alaeddin,224,0
survived,224,0
1968,224,0
recall,224,0
consequences,224,0
poetry,224,0
cuba,223,0
granted,223,0
1964,223,0
sounded,223,0
impression,223,0
characteristics,223,0
legislative,223,0
fiction,223,0
permitted,223,0
arrondissement,223,0
agency's,222,0
shrines,222,0
effectiveness,222,0
commander,222,0
examine,222,0
universe,222,0
japan's,222,0
mighty,222,0
reliable,222,0
honour,222,0
refers,222,0
fifa,221,0
whittington,221,0
oversight,221,0
earn,221,0
efficiency,221,0
questioned,221,0
convinced,221,0
mediterranean,220,0
declined,220,0
funded,220,0
fool,220,0
president's,220,0
comparison,220,0
mcglory,220,0
substantial,219,0
performances,219,0
votes,219,0
country's,219,0
resource,219,0
dating,219,0
notable,219,0
requests,219,0
vain,219,0
judgment,218,0
expanded,218,0
returns,218,0
sang,218,0
christianity,218,0
lewis,218,0
districts,218,0
fled,217,0
wages,216,0
resulted,216,0
flung,216,0
cheaper,216,0
accuracy,216,0
government's,216,0
batala,215,0
hayden,215,0
tennessee,215,0
pity,215,0
richards,215,0
scheme,215,0
ozone,214,0
examination,214,0
desperate,214,0
aileen,214,0
nowadays,214,0
answers,214,0
voted,213,0
belonged,213,0
1973,213,0
dealing,213,0
ignore,213,0
obliged,212,0
periods,212,0
treasures,212,0
restrictions,212,0
louisiana,211,0
interim,211,0
gradually,211,0
dod,210,0
nox,210,0
thoroughly,210,0
educational,210,0
worthy,210,0
sooner,210,0
cares,209,0
sather,209,0
king's,208,0
discover,208,0
stronger,208,0
banned,208,0
investors,208,0
terror,208,0
informed,208,0
stolen,207,0
1966,207,0
morris,207,0
broadcast,207,0
nevertheless,207,0
regularly,207,0
collect,207,0
korea,206,0
identity,206,0
1977,206,0
permission,206,0
responses,206,0
dioxide,206,0
indicated,206,0
argue,205,0
boris,205,0
maintained,205,0
talent,205,0
influenced,205,0
context,205,0
annie,205,0
merged,205,0
rejected,205,0
so2,204,0
outcome,204,0
i.e,204,0
yelled,204,0
existed,204,0
antonio,203,0
1978,203,0
incident,203,0
arrest,203,0
muttered,203,0
benjamin,203,0
contracts,203,0
strict,203,0
1967,203,0
represents,203,0
generations,203,0
illness,203,0
improper,202,0
puerto,202,0
qualified,201,0
impressed,201,0
episodes,201,0
bertha,201,0
provinces,201,0
courses,201,0
immigrants,201,0
authorities,201,0
lewinsky,201,0
testimony,200,0
warned,200,0
settle,200,0
popularity,199,0
oak,199,0
situations,199,0
topics,199,0
involves,199,0
finn,199,0
sulfur,198,0
ceased,198,0
accordingly,198,0
commerce,198,0
priority,198,0
nhl,197,0
dreadful,197,0
kentucky,197,0
criminals,197,0
intelligence,197,0
stanton,196,0
iran,196,0
commitment,196,0
hospitals,196,0
recognition,196,0
hamilton,196,0
kirby,196,0
sadly,196,0
proceeded,196,0
relationships,196,0
willie,196,0
minds,196,0
derry,195,0
snakes,195,0
mines,195,0
vaud,195,0
aylmer,195,0
revealed,195,0
earthquake,195,0
bork,195,0
universities,195,0
ki,194,0
faithful,194,0
confusion,194,0
first-class,194,0
evident,193,0
et,193,0
settlements,193,0
scholars,193,0
abroad,193,0
mosely,193,0
arose,193,0
instantly,192,0
transferred,192,0
billy,192,0
locations,192,0
festivals,192,0
funeral,192,0
worldwide,192,0
greuze,192,0
installed,192,0
unexpected,192,0
resulting,192,0
documentation,191,0
researchers,191,0
academic,191,0
di,191,0
rage,191,0
douglas,190,0
competed,190,0
reward,190,0
acquired,190,0
allies,190,0
scored,190,0
moreover,190,0
shame,189,0
addresses,189,0
statistical,189,0
2023,188,0
limestone,188,0
mailers,188,0
ann,188,0
emission,188,0
tony,188,0
compare,187,0
contribute,187,0
anyhow,187,0
parish,186,0
architect,186,0
educated,186,0
childhood,186,0
attract,186,0
jordan,186,0
occasional,186,0
natalia,186,0
genus,185,0
scenario,185,0
caribbean,185,0
instances,185,0
murmured,185,0
lilian,185,0
stakeholders,185,0
insisted,185,0
depend,184,0
spectacular,184,0
aci,184,0
hesitated,184,0
delhi,184,0
utah,184,0
lola,184,0
musee,183,0
plano,183,0
initially,183,0
maria,183,0
accomplished,183,0
ultimately,183,0
counted,183,0
creeks,183,0
injuries,183,0
succeed,182,0
nixon,182,0
1945,182,0
iraq,182,0
recovered,182,0
nitrogen,181,0
amendment,181,0
sank,181,0
communist,181,0
constitutional,181,0
salary,181,0
increasingly,181,0
resolution,181,0
contribution,181,0
grateful,180,0
chances,180,0
francis,180,0
1948,180,0
continuing,180,0
philosophy,180,0
personality,180,0
feared,180,0
stanley,180,0
retreat,180,0
islam,179,0
winds,179,0
profession,179,0
analyses,179,0
ain,179,0
town's,179,0
kindness,179,0
repeat,179,0
implementing,179,0
territories,179,0
annually,178,0
assigned,178,0
authors,178,0
1962,178,0
physicians,178,0
conquered,178,0
servant,178,0
assumption,178,0
compensation,178,0
cazar,177,0
activist,177,0
austria,177,0
metric,177,0
deals,177,0
coastal,177,0
financing,177,0
rely,177,0
cios,177,0
friendship,177,0
1958,177,0
wednesday,177,0
gains,177,0
adequate,176,0
fortunate,176,0
rank,176,0
1956,176,0
resolved,176,0
15th,176,0
participated,176,0
eliot,176,0
gordon,176,0
anxiety,175,0
conclusions,175,0
1957,175,0
mercy,175,0
monitoring,175,0
1952,175,0
integrity,175,0
ease,175,0
aspect,175,0
suspected,174,0
curiosity,174,0
beloved,174,0
relation,174,0
galleries,174,0
generous,174,0
exhibition,174,0
state's,174,0
suspicion,174,0
minority,173,0
troubled,173,0
blessed,173,0
intention,173,0
output,173,0
networks,173,0
homeland,172,0
maximum,172,0
references,172,0
tuesday,172,0
venice,172,0
accessible,172,0
auditor,172,0
errors,172,0
deserve,172,0
wanting,171,0
mainland,171,0
sympathy,171,0
expenditures,171,0
derived,171,0
frederick,171,0
applicable,171,0
interpretation,170,0
troubles,170,0
accomplish,170,0
goodness,170,0
institution,170,0
asset,169,0
surplus,169,0
jethro,169,0
economists,169,0
battles,169,0
wales,169,0
contrary,169,0
auditing,169,0
unfortunate,169,0
year's,169,0
disagree,168,0
gazed,168,0
weekends,168,0
committees,168,0
rebuilt,168,0
conservatives,168,0
archaeological,168,0
hates,167,0
suicide,167,0
she'll,167,0
japazy,167,0
scheduled,167,0
sacrifice,167,0
reforms,167,0
victor,167,0
objective,167,0
introduction,167,0
tel,167,0
invest,167,0
essay,167,0
chronic,167,0
murdered,167,0
overcome,167,0
strictly,166,0
she'd,166,0
acceptable,166,0
divorce,166,0
company's,166,0
temper,166,0
fena,166,0
flows,166,0
sights,166,0
abortion,166,0
nepal,166,0
island's,165,0
dakota,165,0
expand,165,0
1947,165,0
forgive,165,0
suggestion,165,0
alternatives,165,0
14th,164,0
1943,164,0
sciences,164,0
heroes,164,0
decreased,164,0
1955,164,0
loudly,164,0
mistaken,164,0
reckon,164,0
forbes,163,0
significance,163,0
projections,163,0
indicate,163,0
napoleon,163,0
beliefs,163,0
metropolitan,163,0
haven,163,0
1961,163,0
asks,163,0
buchanan,163,0
stephen,163,0
columbus,163,0
literary,163,0
warren,163,0
earliest,162,0
invaded,162,0
uttered,162,0
establishing,162,0
silently,162,0
produces,162,0
rang,162,0
assess,162,0
premature,162,0
assurance,162,0
shagbark,162,0
proposals,162,0
mandatory,162,0
covid-19,162,0
convenient,161,0
solve,161,0
rude,161,0
dialect,161,0
difficulties,161,0
1944,161,0
thankful,161,0
sobrinini,161,0
d.c,161,0
senator,161,0
gpra,161,0
bye-bye,161,0
uncomfortable,160,0
quiz,160,0
arizona,160,0
christopher,160,0
philip,160,0
dorcas,160,0
pipina,160,0
commit,160,0
lads,160,0
lifetime,160,0
cf,160,0
accustomed,160,0
attracted,160,0
prague,159,0
1942,159,0
praised,159,0
format,159,0
shannon,159,0
400,159,0
argued,159,0
byzantine,159,0
securities,159,0
engage,159,0
ceo,159,0
freely,159,0
chambers,158,0
hastily,158,0
settlers,158,0
founder,158,0
bless,158,0
startled,158,0
mood,158,0
corporations,158,0
1959,158,0
wherever,158,0
authorized,158,0
cnn,158,0
borough,158,0
unlikely,157,0
urged,157,0
1940,157,0
brooke,157,0
deficit,157,0
sweden,157,0
pp,157,0
occurs,157,0
dared,157,0
implications,156,0
exhausted,156,0
invented,156,0
u.s.c,156,0
stress,156,0
representing,156,0
assured,156,0
ashore,155,0
fever,155,0
thursday,155,0
commented,155,0
meitei,155,0
versions,154,0
poems,154,0
inquiry,154,0
possessed,154,0
hosted,154,0
comedian,154,0
solely,154,0
mccain,154,0
prospect,154,0
calculated,153,0
promoted,153,0
mistress,153,0
1963,153,0
kosovo,153,0
cadets,153,0
unemployment,153,0
civilization,152,0
nephew,152,0
1965,152,0
advised,152,0
imagined,152,0
gasped,152,0
karf,152,0
moscow,152,0
shinto,152,0
garth,152,0
agreements,152,0
cha'hta,152,0
rico,151,0
subsequent,151,0
surprising,151,0
relating,151,0
fortescue,151,0
notion,151,0
legislature,151,0
promptly,151,0
employer,151,0
orleans,151,0
imposing,151,0
1946,151,0
bombing,151,0
ruling,151,0
posted,151,0
evaluate,151,0
terribly,150,0
accordance,150,0
nile,150,0
carriers,150,0
proceed,150,0
historians,150,0
begged,150,0
transactions,150,0
1934,149,0
volumes,149,0
seldom,149,0
gagas,149,0
involvement,149,0
intent,149,0
threats,149,0
pardon,149,0
husband's,149,0
tombs,149,0
dealt,149,0
stark,149,0
acres,149,0
dislike,148,0
vital,148,0
practically,148,0
aegean,148,0
forbidden,148,0
producing,148,0
labour,148,0
losses,148,0
requiring,148,0
communicate,148,0
ser,148,0
integrated,148,0
wage,148,0
institutions,148,0
transaction,147,0
publications,147,0
bonds,147,0
behalf,147,0
wouldn,147,0
1929,147,0
litigation,147,0
execution,147,0
america's,147,0
proven,147,0
emphasis,147,0
thoughtfully,147,0
doubs,146,0
lsc's,146,0
monthly,146,0
remark,146,0
readily,146,0
oregon,146,0
e-mail,146,0
achieving,146,0
randolph,145,0
abraham,145,0
1941,145,0
programming,145,0
greeks,145,0
alexander's,145,0
wins,145,0
divorced,145,0
fcc,144,0
frescoes,144,0
scenarios,144,0
retire,144,0
_the,144,0
hersheimmer,144,0
marketing,144,0
bc,144,0
chum,144,0
devering,144,0
intelligent,144,0
publicly,144,0
communes,144,0
dependent,144,0
basilica,144,0
advocates,144,0
andrew,144,0
genuine,144,0
intellectual,143,0
nascanora,143,0
voyage,143,0
whatsoever,143,0
1939,143,0
hollow,143,0
influences,143,0
moors,143,0
perth,143,0
owns,143,0
eliminated,143,0
administrator,143,0
earnestly,143,0
12th,143,0
deficits,142,0
maintaining,142,0
1930,142,0
keen,142,0
symptoms,142,0
trend,142,0
discounts,142,0
relieved,142,0
spiritual,142,0
ninety,142,0
impeachment,142,0
consequence,142,0
fc,142,0
bargain,142,0
armies,142,0
disappointment,142,0
villa,142,0
git,141,0
master's,141,0
jane's,141,0
intend,141,0
trends,141,0
aloud,141,0
presidency,141,0
joining,141,0
attestation,141,0
armitage,140,0
interviews,140,0
mistakes,140,0
adopt,140,0
suspicious,140,0
imagination,140,0
protests,140,0
grande,140,0
determining,140,0
malay,140,0
mild,140,0
trauma,140,0
briefly,140,0
occasions,140,0
critic,140,0
waved,139,0
edric,139,0
defence,139,0
nay,139,0
campaigns,139,0
earnings,139,0
regret,139,0
suggestions,139,0
prosperity,139,0
methodology,139,0
barbara,139,0
classification,139,0
statutory,139,0
revenge,139,0
overseas,139,0
recommendation,139,0
collecting,139,0
earnest,138,0
conscious,138,0
afterward,138,0
150,138,0
norman,138,0
outstanding,138,0
swiftly,138,0
whereas,138,0
encounter,138,0
fortunately,138,0
spy,138,0
registered,138,0
lists,138,0
themes,138,0
define,138,0
approve,138,0
rating,138,0
admiration,138,0
rulers,138,0
strychnine,138,0
germans,138,0
larry,138,0
weary,137,0
incorporated,137,0
ruth,137,0
recommend,137,0
1949,137,0
organization's,137,0
novels,137,0
anthony,137,0
criticism,137,0
renamed,137,0
allowance,137,0
polly,136,0
publishing,136,0
roar,136,0
mwe,136,0
properties,136,0
respected,136,0
complain,136,0
clara,136,0
loire-atlantique,136,0
remarks,136,0
utmost,136,0
expansion,136,0
polite,135,0
allied,135,0
doubtless,135,0
controversial,135,0
e.g,135,0
unnecessary,135,0
borden,135,0
pursued,135,0
paradise,135,0
frowned,135,0
welcomed,135,0
1933,135,0
dismissed,135,0
moore,134,0
provision,134,0
shiloh,134,0
telegram,134,0
valid,134,0
cairo,134,0
recover,134,0
xiv,134,0
privilege,134,0
failing,134,0
conrad,134,0
crept,134,0
websites,134,0
danes,134,0
exclusively,134,0
deadly,134,0
firing,133,0
"10,000",133,0
downstairs,133,0
inflation,133,0
profits,133,0
god's,133,0
siege,133,0
mandates,133,0
manhattan,133,0
accountable,133,0
nomination,132,0
sighed,132,0
ere,132,0
awhile,132,0
vs,132,0
moderate,132,0
vi,132,0
ruthven,132,0
neighbor,132,0
shifted,132,0
helpless,132,0
contributed,132,0
feedback,132,0
superb,132,0
retain,132,0
aerobics,132,0
agony,132,0
barnes,131,0
democrat,131,0
